Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,14.68,14.68,13.535,13.98,13400,13.98
2015-12-16,14.2,14.29,12.86,13.79,17800,13.79
2015-12-17,14.15,14.38,13.27,14.01,16000,14.01
2015-12-18,13.97,14.51,13.83,14.07,36700,14.07
2015-12-21,14.31,14.84,13.625,14.41,19900,14.41
2015-12-22,14.45,14.99,14.37,14.5,16500,14.5
2015-12-23,14.65,14.77,14.31,14.76,13700,14.76
2015-12-24,14.76,14.9,14.76,14.9,7600,14.9
2015-12-28,14.71,14.98,13.495,14.62,16400,14.62
2015-12-29,14.9,15.84,14.28,15.36,11200,15.36
2015-12-30,15.28,16.48,15.24,15.52,12900,15.52
2015-12-31,15.54,16.129998999999998,15.46,15.51,6800,15.51
2016-01-04,15.0,15.0,13.38,14.04,24600,14.04
2016-01-05,14.04,14.46,13.56,13.6,7000,13.6
2016-01-06,13.5,14.31,12.8,13.01,15600,13.01
2016-01-07,13.88,13.88,12.07,12.28,6700,12.28
2016-01-08,12.24,13.74,11.64,11.77,16400,11.77
2016-01-11,11.91,12.42,11.62,11.76,12800,11.76
2016-01-12,13.115,13.115,10.75,11.22,19700,11.22
2016-01-13,11.19,12.415,10.3,10.59,17600,10.59
2016-01-14,11.605,11.605,9.35,10.38,21900,10.38
