Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.05,1.05,0.98,1.01,1398100,1.01
2015-12-16,1.03,1.07,1.02,1.06,541000,1.06
2015-12-17,1.08,1.15,1.08,1.12,540700,1.12
2015-12-18,1.13,1.18,1.1,1.18,529500,1.18
2015-12-21,1.15,1.17,1.13,1.14,329600,1.14
2015-12-22,1.1,1.14,1.09,1.11,287700,1.11
2015-12-23,1.07,1.13,1.04,1.12,682400,1.12
2015-12-24,1.08,1.12,1.08,1.11,83700,1.11
2015-12-28,1.07,1.09,1.03,1.04,462400,1.04
2015-12-29,1.02,1.04,1.02,1.04,241500,1.04
2015-12-30,1.0,1.02,0.99,0.99,451300,0.99
2015-12-31,1.22,1.23,1.1,1.13,4508700,1.13
2016-01-04,1.1,1.13,1.07,1.13,469700,1.13
2016-01-05,1.13,1.16,1.1,1.11,324000,1.11
2016-01-06,1.12,1.12,1.04,1.06,349400,1.06
2016-01-07,1.02,1.04,1.0,1.01,304500,1.01
2016-01-08,1.05,1.08,1.0,1.0,357000,1.0
2016-01-11,1.04,1.04,0.91,0.95,415700,0.95
2016-01-12,0.99,1.02,0.92,0.96,341600,0.96
2016-01-13,0.93,0.98,0.78,0.86,504100,0.86
2016-01-14,0.87,0.9,0.82,0.82,309200,0.82
