Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,16.0,16.0,15.25,15.56,18900,15.56
2015-12-16,15.49,16.950001,15.49,15.81,142100,15.81
2015-12-17,15.97,16.0,15.82,15.87,3300,15.87
2015-12-18,15.92,16.0,15.5,15.99,11800,15.99
2015-12-21,16.379998999999998,16.379998999999998,15.5,15.75,10400,15.75
2015-12-22,15.98,16.860001,15.75,16.860001,3700,16.860001
2015-12-23,15.89,16.0,15.75,16.0,5100,16.0
2015-12-24,15.85,15.98,15.59,15.98,3400,15.98
2015-12-28,15.98,16.01,15.95,16.0,2100,16.0
2015-12-29,15.92,16.0,15.17,15.99,7100,15.99
2015-12-30,15.99,16.0,15.81,15.99,4100,15.99
2015-12-31,16.0,17.0,15.51,16.0,84900,16.0
2016-01-04,15.87,15.99,15.4,15.66,1800,15.66
2016-01-05,15.61,15.99,15.61,15.77,700,15.77
2016-01-06,15.6,16.0,15.3,15.32,9800,15.32
2016-01-07,15.47,15.47,14.8,14.8,1400,14.8
2016-01-08,15.3,15.65,13.32,14.57,10200,14.57
2016-01-11,14.69,14.88,13.7,14.64,2700,14.64
2016-01-12,14.75,14.75,13.96,14.25,17200,14.25
2016-01-13,13.06,14.25,13.06,14.0,6000,14.0
