Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,110.970001,116.370003,110.0,113.160004,398400,113.160004
2015-12-22,115.790001,115.879997,110.019997,113.099998,256800,113.099998
2015-12-23,114.010002,116.559998,112.370003,114.309998,220200,114.309998
2015-12-24,114.33000200000001,114.889999,112.239998,113.839996,138500,113.839996
2015-12-28,112.660004,114.614998,109.800003,113.260002,199200,113.260002
2015-12-29,114.449997,116.480003,113.480003,116.199997,284500,116.199997
2015-12-30,116.349998,117.120003,112.720001,113.029999,273700,113.029999
2015-12-31,112.639999,116.099998,111.730003,112.18,317200,112.18
2016-01-04,108.800003,110.059998,101.540001,101.860001,544300,101.860001
2016-01-05,102.0,102.75,97.029999,98.93,350400,98.93
2016-01-06,95.690002,96.269997,91.779999,94.029999,420600,94.029999
2016-01-07,90.970001,94.139999,89.160004,93.029999,659200,93.029999
2016-01-08,93.139999,94.400002,86.199997,86.440002,499000,86.440002
2016-01-11,87.160004,87.637001,76.879997,80.150002,718400,80.150002
2016-01-12,82.849998,92.160004,79.470001,86.510002,954800,86.510002
2016-01-13,87.32,88.846001,75.550003,76.82,898100,76.82
2016-01-14,78.16999799999999,82.389999,70.489998,82.300003,666300,82.300003
2016-01-15,78.129997,80.83000200000001,76.290001,79.629997,696100,79.629997
