Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,15.73,16.66,15.61,16.540001,608300,16.540001
2015-12-16,16.719998999999998,17.15,16.549999,17.059998999999998,518700,17.059998999999998
2015-12-17,17.049999,17.610001,16.84,17.459999,371200,17.459999
2015-12-18,17.299999,18.01,16.83,17.75,1440600,17.75
2015-12-21,17.98,18.280001000000002,17.33,18.07,507200,18.07
2015-12-22,18.07,18.48,17.92,18.41,490000,18.41
2015-12-23,18.440001000000002,18.75,18.02,18.059998999999998,510500,18.059998999999998
2015-12-24,17.98,18.110001,17.290001,17.860001,307900,17.860001
2015-12-28,17.780001000000002,17.85,17.129998999999998,17.309998999999998,422500,17.309998999999998
2015-12-29,17.440001000000002,17.969998999999998,17.32,17.83,405600,17.83
2015-12-30,17.790001,18.049999,17.4,17.709999,294400,17.709999
2015-12-31,17.59,17.719998999999998,17.110001,17.290001,637000,17.290001
2016-01-04,16.950001,16.950001,16.15,16.35,569400,16.35
2016-01-05,16.48,16.57,16.01,16.1,469700,16.1
2016-01-06,15.79,15.95,15.31,15.67,424500,15.67
2016-01-07,15.1,15.8,15.01,15.1,476000,15.1
2016-01-08,15.25,15.5,14.51,14.63,503400,14.63
2016-01-11,14.71,15.22,13.75,14.26,575300,14.26
2016-01-12,13.24,14.86,13.19,14.24,728900,14.24
2016-01-13,14.25,14.69,13.15,13.26,511700,13.26
