Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.89,6.89,6.63,6.77,5600,6.77
2015-12-16,6.51,6.606,6.51,6.53,3900,6.53
2015-12-17,6.83,6.83,6.1,6.17,8300,6.17
2015-12-18,6.18,6.265,6.1,6.19,10900,6.19
2015-12-21,6.0,6.0,5.51,5.77,38600,5.77
2015-12-22,5.79,6.35,5.75,5.995,23500,5.995
2015-12-23,6.3,6.6,5.85,6.05,36000,6.05
2015-12-24,5.93,6.42,5.69,6.01,14200,6.01
2015-12-28,5.93,6.37,5.82,5.82,129200,5.82
2015-12-29,6.47,6.47,5.82,5.86,27300,5.86
2015-12-30,5.99,6.51,5.81,6.17,18900,6.17
2015-12-31,6.3,6.74,6.01,6.21,17900,6.21
2016-01-04,5.7620000000000005,6.29,5.75,6.1,60000,6.1
2016-01-05,6.28,6.6,5.95,5.95,13000,5.95
2016-01-06,6.0,6.25,5.76,5.84,6400,5.84
2016-01-07,5.8,6.26,5.22,5.58,120300,5.58
2016-01-08,5.77,5.96,5.26,5.28,16000,5.28
2016-01-11,5.17,5.56,5.12,5.13,16300,5.13
2016-01-12,5.51,5.51,4.61,5.15,29600,5.15
2016-01-13,5.15,5.16,4.548,4.98,14900,4.98
2016-01-14,5.05,5.25,4.61,5.14,15600,5.14
