Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,8.5,8.91,8.33,8.86,799000,8.86
2015-12-16,8.9,9.34,8.8,9.33,797700,9.33
2015-12-17,9.51,9.67,9.25,9.42,928000,9.42
2015-12-18,9.38,9.83,9.12,9.63,7390800,9.63
2015-12-21,9.66,9.81,9.18,9.31,1323100,9.31
2015-12-22,9.38,9.5,9.11,9.2,865700,9.2
2015-12-23,9.28,9.47,9.02,9.34,713500,9.34
2015-12-24,9.33,9.49,9.33,9.39,179700,9.39
2015-12-28,9.35,9.4,9.08,9.19,645500,9.19
2015-12-29,9.24,9.5,9.13,9.48,689000,9.48
2015-12-30,9.42,9.55,9.35,9.4,605300,9.4
2015-12-31,9.36,9.45,9.03,9.13,782300,9.13
2016-01-04,8.92,9.08,8.7,8.95,937600,8.95
2016-01-05,8.97,9.22,8.77,8.91,804700,8.91
2016-01-06,8.75,8.8,8.09,8.22,1071000,8.22
2016-01-07,7.95,8.13,7.63,7.65,1402500,7.65
2016-01-08,7.73,8.0,7.39,7.41,823700,7.41
2016-01-11,7.48,7.75,6.24,6.42,1637300,6.42
2016-01-12,6.49,7.09,6.45,7.01,2205400,7.01
2016-01-13,7.02,7.13,6.08,6.09,1623800,6.09
