Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,0.33,0.34,0.31,0.32,2152000,0.32
2015-12-16,0.31,0.35,0.31,0.33,870900,0.33
2015-12-17,0.33,0.33,0.32,0.32,1182100,0.32
2015-12-18,0.32,0.33,0.3,0.31,5367700,0.31
2015-12-21,0.33,0.33,0.3,0.33,1490400,0.33
2015-12-22,0.33,0.33,0.31,0.32,1134900,0.32
2015-12-23,0.31,0.36,0.31,0.35,2128500,0.35
2015-12-24,0.35,0.36,0.34,0.36,482700,0.36
2015-12-28,0.35,0.4,0.34,0.35,1325900,0.35
2015-12-29,0.35,0.37,0.34,0.35,1694600,0.35
2015-12-30,0.35,0.38,0.34,0.35,2040300,0.35
2015-12-31,0.35,0.36,0.33,0.35,8415500,0.35
2016-01-04,0.33,0.36,0.32,0.33,872400,0.33
2016-01-05,0.33,0.36,0.32,0.34,1298900,0.34
2016-01-06,0.35,0.36,0.3,0.31,1516200,0.31
2016-01-07,0.3,0.31,0.28,0.28,1601900,0.28
2016-01-08,0.29,0.3,0.27,0.27,749300,0.27
2016-01-11,0.28,0.3,0.25,0.25,1124200,0.25
2016-01-12,0.26,0.27,0.24,0.25,982000,0.25
2016-01-13,0.26,0.27,0.23,0.23,1506800,0.23
