Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,1.12,1.15,1.11,1.13,24800,1.13
2015-12-22,1.13,1.15,1.11,1.13,24200,1.13
2015-12-23,1.14,1.15,1.11,1.14,16400,1.14
2015-12-24,1.12,1.15,1.11,1.11,16500,1.11
2015-12-28,1.11,1.15,1.11,1.12,23200,1.12
2015-12-29,1.12,1.14,1.11,1.11,19800,1.11
2015-12-30,1.1,1.13,1.1,1.11,31000,1.11
2015-12-31,1.1,1.16,1.08,1.11,166100,1.11
2016-01-04,1.14,1.16,1.12,1.12,14400,1.12
2016-01-05,1.17,1.18,1.15,1.15,17300,1.15
2016-01-06,1.12,1.14,1.1,1.12,77100,1.12
2016-01-07,1.12,1.12,1.1,1.12,18600,1.12
2016-01-08,1.1,1.13,1.1,1.13,4800,1.13
2016-01-11,1.13,1.13,1.08,1.11,51800,1.11
2016-01-12,1.1,1.1,1.06,1.07,18900,1.07
2016-01-13,1.07,1.1,1.05,1.07,17100,1.07
2016-01-14,1.05,1.12,1.05,1.08,8400,1.08
2016-01-15,1.08,1.08,1.02,1.04,38700,1.04
