Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.77,2.92,2.65,2.8,8400,2.8
2015-12-16,2.75,2.75,2.65,2.7,14500,2.7
2015-12-17,2.737,2.737,2.66,2.67,8900,2.67
2015-12-18,2.71,2.75,2.65,2.71,24000,2.71
2015-12-21,2.67,2.7,2.45,2.64,33400,2.64
2015-12-22,2.58,2.64,2.56,2.64,22500,2.64
2015-12-23,2.6,2.635,2.56,2.58,18200,2.58
2015-12-24,2.56,2.56,2.25,2.5,30600,2.5
2015-12-28,2.37,2.636,2.3,2.46,26900,2.46
2015-12-29,2.459,2.49,2.45,2.45,14100,2.45
2015-12-30,2.46,2.5,2.46,2.47,25300,2.47
2015-12-31,2.51,3.31,2.398,3.26,44700,3.26
2016-01-04,3.26,3.26,2.72,3.17,18600,3.17
2016-01-05,3.34,3.6,3.015,3.02,83100,3.02
2016-01-06,3.09,3.21,2.908,3.01,27800,3.01
2016-01-07,2.28,2.99,2.03,2.85,22600,2.85
2016-01-08,3.01,3.01,2.85,2.99,5000,2.99
2016-01-11,2.88,2.99,2.6,2.99,25400,2.99
2016-01-12,2.734,2.85,2.73,2.85,3600,2.85
2016-01-13,2.79,2.9,2.45,2.53,10600,2.53
