Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.32,6.45,6.26,6.3,72100,6.3
2015-12-16,6.45,6.478,6.2,6.25,152500,6.25
2015-12-17,6.36,6.45,6.2,6.33,136200,6.33
2015-12-18,6.29,6.42,6.155,6.27,292200,6.27
2015-12-21,6.27,6.625,6.2,6.5,204400,6.5
2015-12-22,6.4,6.5,6.25,6.37,104300,6.37
2015-12-23,6.39,6.57,6.39,6.49,160200,6.49
2015-12-24,6.47,6.52,6.35,6.35,92100,6.35
2015-12-28,6.39,6.51,6.11,6.15,113700,6.15
2015-12-29,6.2,6.28,5.88,5.98,404800,5.98
2015-12-30,5.94,6.5,5.88,6.37,262600,6.37
2015-12-31,6.37,6.5120000000000005,6.27,6.31,106700,6.31
2016-01-04,6.23,6.39,5.954,6.08,94400,6.08
2016-01-05,6.1,6.5,5.96,6.42,97200,6.42
2016-01-06,6.28,6.33,5.96,6.11,97800,6.11
2016-01-07,5.94,6.08,5.749,5.77,159900,5.77
2016-01-08,5.77,5.966,5.68,5.75,150800,5.75
2016-01-11,5.76,6.26,5.11,5.35,271000,5.35
2016-01-12,5.38,5.61,4.77,5.09,140500,5.09
2016-01-13,5.07,5.16,4.69,4.75,89000,4.75
