Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,5.42,5.77,5.42,5.53,133600,5.53
2015-12-22,5.58,5.66,5.53,5.64,59700,5.64
2015-12-23,5.64,5.83,5.6,5.75,110400,5.75
2015-12-24,5.72,5.8,5.7,5.71,25600,5.71
2015-12-28,5.68,5.8,5.66,5.69,72700,5.69
2015-12-29,5.7,5.94,5.7,5.9,97900,5.9
2015-12-30,5.86,5.87,5.8,5.87,50500,5.87
2015-12-31,5.86,5.89,5.71,5.72,49000,5.72
2016-01-04,5.85,5.99,5.53,5.57,155000,5.57
2016-01-05,5.62,5.82,5.58,5.73,122100,5.73
2016-01-06,5.67,5.72,5.36,5.37,110800,5.37
2016-01-07,5.28,5.32,4.95,5.23,202100,5.23
2016-01-08,5.25,5.67,5.17,5.21,127900,5.21
2016-01-11,5.25,5.36,5.13,5.17,120500,5.17
2016-01-12,5.2,5.35,5.2,5.33,100000,5.33
2016-01-13,5.3,5.38,5.16,5.25,105200,5.25
2016-01-14,5.28,5.3,5.04,5.09,114600,5.09
2016-01-15,5.05,5.11,4.93,5.05,92300,5.05
