Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.4,10.95,10.273,10.57,513400,10.57
2015-12-16,10.68,11.33,10.47,11.31,560100,11.31
2015-12-17,11.19,11.44,10.96,11.07,350400,11.07
2015-12-18,11.07,11.7,11.0,11.39,4077400,11.39
2015-12-21,11.58,11.68,11.07,11.54,385800,11.54
2015-12-22,11.75,12.08,11.35,11.68,409900,11.68
2015-12-23,11.73,11.89,11.62,11.83,172900,11.83
2015-12-24,11.85,12.08,11.8,11.83,125800,11.83
2015-12-28,11.65,12.02,11.44,11.89,448200,11.89
2015-12-29,12.05,12.22,11.72,11.99,432800,11.99
2015-12-30,11.86,12.1,11.75,11.95,450400,11.95
2015-12-31,11.84,12.17,11.71,11.93,477100,11.93
2016-01-04,11.76,11.76,11.03,11.41,496700,11.41
2016-01-05,11.47,11.58,10.91,11.23,602000,11.23
2016-01-06,10.94,11.04,10.12,10.43,558700,10.43
2016-01-07,10.02,10.29,9.38,9.47,672600,9.47
2016-01-08,9.5,9.92,8.64,8.68,595800,8.68
2016-01-11,8.76,8.869,7.68,8.03,743100,8.03
2016-01-12,8.0,9.16,7.9,8.97,737300,8.97
2016-01-13,8.99,9.23,8.32,8.47,689700,8.47
2016-01-14,8.49,9.37,8.37,9.16,676200,9.16
