Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.995,7.16,6.72,6.72,18000,6.72
2015-12-16,6.94,6.99,6.705,6.96,13800,6.96
2015-12-17,6.945,7.0,6.91,6.98,6100,6.98
2015-12-18,6.99,7.0,6.95,6.95,11600,6.95
2015-12-21,6.85,7.05,6.79,7.05,34400,7.05
2015-12-22,6.73,7.1,6.73,6.99,5300,6.99
2015-12-23,6.99,7.04,6.8,6.98,12500,6.98
2015-12-24,7.07,7.14,6.99,7.12,1400,7.12
2015-12-28,7.05,7.12,6.67,6.67,13300,6.67
2015-12-29,6.84,7.109,6.76,6.76,8100,6.76
2015-12-30,6.77,6.885,6.627999999999999,6.76,6600,6.76
2015-12-31,6.77,6.94,6.64,6.65,6200,6.65
2016-01-04,6.72,7.465,6.72,6.76,9000,6.76
2016-01-05,6.86,7.07,6.57,6.65,17600,6.65
2016-01-06,6.63,7.1,6.12,6.13,31000,6.13
2016-01-07,5.92,6.49,5.92,6.28,20800,6.28
2016-01-08,6.2,6.8,6.13,6.625,14800,6.625
2016-01-11,6.75,7.32,6.45,7.23,29400,7.23
2016-01-12,7.38,7.38,7.19,7.27,18000,7.27
2016-01-13,7.25,7.32,6.59,7.16,50300,7.16
