Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,5.64,5.8,5.41,5.79,272600,5.79
2015-12-22,5.8,5.8,5.36,5.46,205700,5.46
2015-12-23,5.53,5.59,5.35,5.56,149900,5.56
2015-12-24,5.7,5.85,5.46,5.77,154500,5.77
2015-12-28,5.75,5.89,5.4,5.55,269300,5.55
2015-12-29,5.56,5.74,5.51,5.59,124100,5.59
2015-12-30,5.61,5.71,5.48,5.53,127000,5.53
2015-12-31,5.47,5.57,5.39,5.4,240900,5.4
2016-01-04,5.26,5.43,5.0,5.18,308100,5.18
2016-01-05,5.23,5.3,5.08,5.19,142400,5.19
2016-01-06,5.1,5.19,4.95,5.06,195500,5.06
2016-01-07,4.88,5.08,4.55,4.67,447900,4.67
2016-01-08,4.7,4.77,4.44,4.7,490000,4.7
2016-01-11,4.74,4.8,3.89,4.0,800600,4.0
2016-01-12,4.0,4.12,3.45,3.66,1112200,3.66
2016-01-13,3.7,3.85,3.5,3.56,425500,3.56
2016-01-14,3.53,3.63,2.91,3.24,1078700,3.24
2016-01-15,3.15,3.22,3.01,3.12,420200,3.12
