Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.9101,2.9101,2.89,2.89,700,2.89
2015-12-22,2.91,2.91,2.91,2.91,1700,2.91
2015-12-23,2.9737,2.9737,2.9737,2.9737,1100,2.9737
2015-12-24,2.9737,2.9737,2.9737,2.9737,0,2.9737
2015-12-28,2.9737,2.9737,2.9737,2.9737,0,2.9737
2015-12-29,2.9737,2.9737,2.9737,2.9737,0,2.9737
2015-12-30,3.14,3.1699,3.14,3.1699,3000,3.1699
2015-12-31,2.92,2.92,2.92,2.92,200,2.92
2016-01-04,2.92,2.92,2.92,2.92,0,2.92
2016-01-05,2.92,2.92,2.92,2.92,0,2.92
2016-01-06,3.0,3.0,3.0,3.0,100,3.0
2016-01-07,2.92,2.92,2.91,2.91,500,2.91
2016-01-08,2.91,2.91,2.91,2.91,0,2.91
2016-01-11,2.91,2.91,2.91,2.91,600,2.91
2016-01-12,2.76,2.76,2.76,2.76,100,2.76
2016-01-13,2.76,2.76,2.76,2.76,0,2.76
2016-01-14,2.7,2.7,1.9,2.15,5000,2.15
2016-01-15,2.15,2.15,2.15,2.15,0,2.15
