Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.82,1.86,1.8,1.82,31900,1.82
2015-12-16,1.82,2.06,1.81,2.04,64800,2.04
2015-12-17,2.08,2.08,1.92,1.92,36600,1.92
2015-12-18,1.89,2.3,1.87,2.3,176100,2.3
2015-12-21,2.36,2.53,2.31,2.45,147500,2.45
2015-12-22,2.39,2.53,2.31,2.44,67000,2.44
2015-12-23,2.39,2.57,2.39,2.52,74600,2.52
2015-12-24,2.52,2.59,2.52,2.55,15200,2.55
2015-12-28,2.49,2.58,2.44,2.52,58100,2.52
2015-12-29,2.47,2.58,2.47,2.55,43900,2.55
2015-12-30,2.55,2.63,2.52,2.57,46200,2.57
2015-12-31,2.6,2.6,2.54,2.58,75500,2.58
2016-01-04,2.54,2.6,2.42,2.53,36100,2.53
2016-01-05,2.62,2.69,2.51,2.69,49400,2.69
2016-01-06,2.6,2.6,2.32,2.37,109600,2.37
2016-01-07,2.37,2.4,2.21,2.28,72500,2.28
2016-01-08,2.35,2.39,2.21,2.38,61000,2.38
2016-01-11,2.37,2.39,2.01,2.25,165800,2.25
2016-01-12,2.2,2.35,2.15,2.21,57900,2.21
2016-01-13,2.32,2.32,2.01,2.02,56100,2.02
