Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.77,1.82,1.7,1.74,440300,1.74
2015-12-16,1.74,1.83,1.72,1.78,467800,1.78
2015-12-17,1.8,1.88,1.76,1.79,327400,1.79
2015-12-18,1.79,1.85,1.73,1.75,1552500,1.75
2015-12-21,1.75,1.92,1.75,1.84,588000,1.84
2015-12-22,1.86,1.92,1.83,1.86,260600,1.86
2015-12-23,1.86,2.0,1.86,1.95,378300,1.95
2015-12-24,1.92,2.02,1.91,1.96,164000,1.96
2015-12-28,1.91,1.95,1.85,1.85,457400,1.85
2015-12-29,1.85,1.89,1.79,1.89,409600,1.89
2015-12-30,1.85,1.89,1.8,1.84,319500,1.84
2015-12-31,1.81,1.89,1.81,1.86,378500,1.86
2016-01-04,1.83,1.89,1.75,1.78,310900,1.78
2016-01-05,1.78,1.82,1.73,1.77,208600,1.77
2016-01-06,1.75,1.77,1.61,1.65,501300,1.65
2016-01-07,1.59,1.65,1.52,1.53,429600,1.53
2016-01-08,1.53,1.62,1.53,1.58,515700,1.58
2016-01-11,1.6,1.75,1.45,1.45,399000,1.45
2016-01-12,1.45,1.56,1.36,1.46,492400,1.46
2016-01-13,1.52,1.59,1.32,1.32,234500,1.32
2016-01-14,1.31,1.45,1.27,1.4,332200,1.4
