Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,6.44,6.71,6.23,6.61,42800,6.61
2015-12-22,6.7,7.52,6.6,7.19,71000,7.19
2015-12-23,7.29,7.7,6.98,7.53,105600,7.53
2015-12-24,7.46,7.66,7.05,7.27,29200,7.27
2015-12-28,7.1,7.41,6.27,6.81,103100,6.81
2015-12-29,6.78,7.0,6.26,6.83,33100,6.83
2015-12-30,6.75,6.94,6.52,6.85,38400,6.85
2015-12-31,6.74,7.05,6.66,6.81,31900,6.81
2016-01-04,6.81,6.95,6.54,6.76,15700,6.76
2016-01-05,6.74,6.985,6.65,6.8,18600,6.8
2016-01-06,6.78,7.32,6.78,7.14,13400,7.14
2016-01-07,6.97,7.68,6.73,6.77,67600,6.77
2016-01-08,6.89,7.01,6.63,6.71,27400,6.71
2016-01-11,6.68,6.7,6.31,6.46,23600,6.46
2016-01-12,6.61,6.61,6.09,6.4,30500,6.4
2016-01-13,6.53,6.55,6.0,6.43,25300,6.43
2016-01-14,6.454,6.66,6.27,6.38,13300,6.38
2016-01-15,6.19,6.75,6.09,6.65,30900,6.65
