Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,11.12,11.82,11.09,11.54,128700,11.54
2015-12-16,11.43,12.05,11.29,11.98,148900,11.98
2015-12-17,12.1,12.28,11.0,11.05,172500,11.05
2015-12-18,11.07,11.85,10.23,10.36,934900,10.36
2015-12-21,10.54,11.01,9.75,10.66,93200,10.66
2015-12-22,10.54,12.0,10.01,11.95,111000,11.95
2015-12-23,12.0,12.04,10.47,10.56,264500,10.56
2015-12-24,10.46,11.014000000000001,10.46,10.62,51900,10.62
2015-12-28,10.75,11.0,10.3,10.75,78600,10.75
2015-12-29,11.06,11.09,10.43,10.8,138100,10.8
2015-12-30,10.57,11.01,10.45,10.83,119500,10.83
2015-12-31,10.68,10.87,10.29,10.87,156800,10.87
2016-01-04,10.62,10.81,10.04,10.44,83700,10.44
2016-01-05,10.31,10.49,9.6,9.66,152400,9.66
2016-01-06,9.5,9.97,9.0,9.18,80000,9.18
2016-01-07,9.16,9.78,8.65,8.72,96400,8.72
2016-01-08,10.25,10.25,8.1,8.5,345100,8.5
2016-01-11,8.68,8.7,7.63,8.24,185400,8.24
2016-01-12,8.12,8.674,8.04,8.34,251400,8.34
2016-01-13,8.23,8.3,7.41,7.86,182400,7.86
2016-01-14,7.9,8.02,7.51,7.54,121400,7.54
