Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,13.94,13.97,13.5,13.85,311300,13.85
2015-12-22,13.83,14.23,13.72,14.11,279700,14.11
2015-12-23,14.29,15.15,14.08,14.75,206400,14.75
2015-12-24,14.89,15.1,14.73,14.83,109500,14.83
2015-12-28,14.68,15.19,14.39,14.56,350600,14.56
2015-12-29,14.73,14.78,14.29,14.59,206800,14.59
2015-12-30,14.5,14.81,14.3,14.55,166100,14.55
2015-12-31,14.45,15.15,14.41,14.74,414700,14.74
2016-01-04,14.34,14.6,13.42,13.65,425400,13.65
2016-01-05,13.71,13.98,13.03,13.07,184800,13.07
2016-01-06,12.95,13.11,12.22,12.39,311200,12.39
2016-01-07,12.1,12.38,11.22,11.38,452100,11.38
2016-01-08,11.43,11.67,10.94,10.96,263300,10.96
2016-01-11,10.75,10.91,10.01,10.65,484500,10.65
2016-01-12,10.77,11.23,10.53,10.84,507800,10.84
2016-01-13,10.86,10.89,10.11,10.35,674100,10.35
2016-01-14,10.38,11.07,9.82,10.88,398500,10.88
2016-01-15,10.38,10.6,10.0,10.51,409800,10.51
