Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,13.42,13.47,13.02,13.07,46100,13.07
2015-12-16,13.3,14.5,13.18,13.35,120200,13.35
2015-12-17,13.55,14.22,12.55,13.03,82600,13.03
2015-12-18,13.07,13.16,12.12,12.22,124500,12.22
2015-12-21,12.24,12.49,10.89,11.67,47500,11.67
2015-12-22,11.66,11.879000000000001,11.100999999999999,11.46,12700,11.46
2015-12-23,11.56,11.75,11.06,11.45,154800,11.45
2015-12-24,11.49,12.77,10.99,11.21,62800,11.21
2015-12-28,11.09,11.4,10.6,10.61,42700,10.61
2015-12-29,10.63,10.8,9.78,10.19,82000,10.19
2015-12-30,10.07,10.07,9.397,9.61,88700,9.61
2015-12-31,9.61,10.2,9.33,10.07,105300,10.07
2016-01-04,9.81,9.84,9.0,9.67,119600,9.67
2016-01-05,9.6,9.78,9.25,9.25,40900,9.25
2016-01-06,9.01,9.38,8.92,9.1,55900,9.1
2016-01-07,8.99,8.99,8.541,8.75,38700,8.75
2016-01-08,8.78,9.35,8.72,8.77,45700,8.77
2016-01-11,8.8,8.8,8.08,8.54,59800,8.54
2016-01-12,8.6,8.82,8.19,8.43,44100,8.43
2016-01-13,8.86,9.17,7.9,8.04,63100,8.04
2016-01-14,8.06,8.66,7.42,8.6,48400,8.6
