Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,12.9,12.97,11.02,11.74,8700,11.74
2015-12-22,11.86,11.94,11.0,11.3,8600,11.3
2015-12-23,11.3,11.5,11.3,11.49,2900,11.49
2015-12-24,11.6,11.92,11.6,11.9,1600,11.9
2015-12-28,11.69,11.92,11.69,11.85,13700,11.85
2015-12-29,11.88,12.44,11.8,12.44,4000,12.44
2015-12-30,12.01,12.55,11.93,12.55,3000,12.55
2015-12-31,12.44,12.7,12.14,12.7,5200,12.7
2016-01-04,12.14,12.46,12.08,12.2,9800,12.2
2016-01-05,12.2,12.4,12.07,12.34,5400,12.34
2016-01-06,12.04,12.39,12.04,12.37,1200,12.37
2016-01-07,12.39,12.4,12.23,12.37,1100,12.37
2016-01-08,12.4,12.89,12.05,12.89,15800,12.89
2016-01-11,12.45,12.72,10.49,11.54,25500,11.54
2016-01-12,11.5,11.9,11.5,11.61,33500,11.61
2016-01-13,11.59,11.95,11.5,11.5,6400,11.5
2016-01-14,11.75,11.75,11.75,11.75,100,11.75
2016-01-15,11.5,11.79,11.5,11.5,7900,11.5
