Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,0.64,0.65,0.56,0.62,186000,0.62
2015-12-16,0.6,0.66,0.6,0.65,97400,0.65
2015-12-17,0.66,0.75,0.64,0.74,232700,0.74
2015-12-18,0.75,0.84,0.74,0.84,318700,0.84
2015-12-21,0.83,0.89,0.75,0.83,437000,0.83
2015-12-22,0.77,0.88,0.77,0.87,164300,0.87
2015-12-23,0.88,0.88,0.8,0.86,150400,0.86
2015-12-24,0.82,0.85,0.81,0.81,55100,0.81
2015-12-28,0.81,0.84,0.77,0.79,148800,0.79
2015-12-29,0.78,0.79,0.7,0.71,139500,0.71
2015-12-30,0.7,0.76,0.7,0.7,124600,0.7
2015-12-31,0.7,0.73,0.7,0.71,123300,0.71
2016-01-04,0.7,0.75,0.7,0.73,90900,0.73
2016-01-05,0.73,0.73,0.58,0.62,359500,0.62
2016-01-06,0.63,0.68,0.59,0.59,130000,0.59
2016-01-07,0.59,0.59,0.49,0.53,301100,0.53
2016-01-08,0.54,0.6,0.52,0.59,159100,0.59
2016-01-11,0.62,0.65,0.61,0.61,120300,0.61
2016-01-12,0.62,0.65,0.6,0.6,67400,0.6
2016-01-13,0.61,0.62,0.48,0.53,196500,0.53
2016-01-14,0.52,0.58,0.5,0.56,122700,0.56
