Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.52,10.95,9.62,10.86,33100,10.86
2015-12-16,10.98,10.98,10.31,10.48,23600,10.48
2015-12-17,10.4,10.44,9.98,10.06,37900,10.06
2015-12-18,10.05,10.4,10.05,10.25,78500,10.25
2015-12-21,10.25,10.33,10.08,10.12,12000,10.12
2015-12-22,10.18,10.29,10.1,10.29,6600,10.29
2015-12-23,10.33,10.4,10.29,10.39,5300,10.39
2015-12-24,10.4,10.41,10.33,10.36,11400,10.36
2015-12-28,10.3,10.39,10.17,10.25,22100,10.25
2015-12-29,10.39,10.4,10.31,10.35,6700,10.35
2015-12-30,10.26,10.3,9.87,10.12,12400,10.12
2015-12-31,10.16,10.19,9.86,9.99,90900,9.99
2016-01-04,9.89,10.1,9.66,9.74,52700,9.74
2016-01-05,9.7,9.88,9.64,9.75,36100,9.75
2016-01-06,9.64,9.65,9.32,9.39,57100,9.39
2016-01-07,9.28,9.42,8.9,9.19,48200,9.19
2016-01-08,9.12,9.4,8.65,8.79,246500,8.79
2016-01-11,8.87,8.87,8.5,8.77,24100,8.77
2016-01-12,8.89,9.24,8.89,9.2,45300,9.2
2016-01-13,9.19,9.4,9.0,9.07,37500,9.07
2016-01-14,9.15,9.55,9.04,9.42,60000,9.42
