Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,4.2,4.26,4.18,4.23,60300,4.23
2015-12-16,4.46,4.46,4.3,4.44,48800,4.44
2015-12-17,4.31,4.32,4.18,4.25,52200,4.25
2015-12-18,4.2,4.22,4.12,4.17,49200,4.17
2015-12-21,4.36,4.36,4.27,4.31,21200,4.31
2015-12-22,4.38,4.42,4.28,4.4,72700,4.4
2015-12-23,4.58,4.73,4.55,4.73,59200,4.73
2015-12-24,4.68,4.72,4.6,4.65,7800,4.65
2015-12-28,4.54,4.55,4.42,4.53,30000,4.53
2015-12-29,4.48,4.54,4.47,4.54,25300,4.54
2015-12-30,4.51,4.54,4.39,4.41,24200,4.41
2015-12-31,4.39,4.44,4.27,4.36,46300,4.36
2016-01-04,4.32,4.36,4.23,4.36,61600,4.36
2016-01-05,4.19,4.31,4.19,4.3,16000,4.3
2016-01-06,4.2,4.26,4.2,4.26,34000,4.26
2016-01-07,4.01,4.04,3.96,3.96,74400,3.96
2016-01-08,3.73,3.77,3.65,3.65,88600,3.65
2016-01-11,3.64,3.65,3.56,3.61,25300,3.61
2016-01-12,3.75,3.77,3.7,3.74,27000,3.74
2016-01-13,3.67,3.7,3.52,3.52,19400,3.52
2016-01-14,3.6,3.77,3.56,3.75,13600,3.75
