Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,6.14,6.34,6.13,6.33,747900,6.33
2015-12-22,6.42,6.6,6.27,6.57,796600,6.57
2015-12-23,6.68,6.73,6.55,6.68,644900,6.68
2015-12-24,6.7,6.72,6.62,6.62,218500,6.62
2015-12-28,6.6,6.61,6.3,6.4,467800,6.4
2015-12-29,6.47,6.51,6.39,6.4,518400,6.4
2015-12-30,6.39,6.4,6.25,6.26,518200,6.26
2015-12-31,6.23,6.28,6.08,6.08,689500,6.08
2016-01-04,5.96,6.06,5.86,6.04,770000,6.04
2016-01-05,6.03,6.2,6.0,6.13,818900,6.13
2016-01-06,6.0,6.06,5.77,5.88,939500,5.88
2016-01-07,5.73,5.82,5.55,5.64,874800,5.64
2016-01-08,5.65,5.78,5.54,5.62,1135100,5.62
2016-01-11,5.68,5.75,5.6,5.66,806000,5.66
2016-01-12,5.73,5.84,5.51,5.66,701600,5.66
2016-01-13,5.7,5.81,5.56,5.65,1029600,5.65
2016-01-14,5.68,5.85,5.55,5.67,1051600,5.67
2016-01-15,5.48,5.57,5.42,5.56,1218600,5.56
