Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,9.17,9.44,9.17,9.39,47200,9.39
2015-12-22,9.37,9.45,9.23,9.44,19100,9.44
2015-12-23,9.43,9.55,9.27,9.5,24900,9.5
2015-12-24,9.46,9.56,9.36,9.53,13700,9.53
2015-12-28,9.44,9.51,9.07,9.39,27200,9.39
2015-12-29,9.42,9.56,9.16,9.49,22900,9.49
2015-12-30,9.51,9.51,9.45,9.45,18500,9.45
2015-12-31,9.41,9.45,9.18,9.19,27900,9.19
2016-01-04,9.07,9.07,8.74,8.81,42500,8.81
2016-01-05,8.86,8.91,8.8,8.85,30700,8.85
2016-01-06,8.72,8.92,8.72,8.8,68300,8.8
2016-01-07,8.69,8.8,8.48,8.48,109200,8.48
2016-01-08,8.51,8.62,8.22,8.23,34000,8.23
2016-01-11,8.47,9.02,8.02,8.86,61800,8.86
2016-01-12,8.92,9.02,8.75,8.93,44200,8.93
2016-01-13,9.16,9.19,8.62,8.68,58500,8.68
2016-01-14,8.74,8.96,8.52,8.81,43100,8.81
2016-01-15,8.53,8.72,8.46,8.5,43700,8.5
