Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,5.55,5.63,5.5,5.54,1571400,5.54
2015-12-22,5.58,5.7,5.55,5.68,2178400,5.68
2015-12-23,5.87,5.88,5.82,5.83,1467400,5.83
2015-12-24,5.79,5.82,5.78,5.78,476000,5.78
2015-12-28,5.79,5.79,5.68,5.71,1385700,5.71
2015-12-29,5.73,5.75,5.71,5.74,593100,5.74
2015-12-30,5.64,5.67,5.58,5.61,624400,5.61
2015-12-31,5.73,5.73,5.65,5.67,1054800,5.67
2016-01-04,5.54,5.57,5.47,5.53,1175900,5.53
2016-01-05,5.52,5.55,5.49,5.49,904100,5.49
2016-01-06,5.47,5.49,5.38,5.38,848400,5.38
2016-01-07,5.28,5.29,5.2,5.22,919600,5.22
2016-01-08,5.22,5.33,5.1,5.11,514600,5.11
2016-01-11,5.19,5.21,5.09,5.1,1290300,5.1
2016-01-12,5.18,5.18,5.06,5.11,491300,5.11
2016-01-13,5.15,5.23,5.11,5.14,889800,5.14
2016-01-14,5.15,5.26,5.14,5.24,760300,5.24
2016-01-15,5.02,5.08,4.97,5.02,890100,5.02
