Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,36.93,37.110001000000004,36.18,36.900002,834100,36.900002
2015-12-22,36.82,36.84,35.759997999999996,36.25,646900,36.25
2015-12-23,36.310001,36.75,35.970001,36.549999,664500,36.549999
2015-12-24,36.360001000000004,36.790001000000004,35.919998,36.48,434200,36.48
2015-12-28,36.099998,36.59,35.0,35.740002000000004,315200,35.740002000000004
2015-12-29,35.849998,35.950001,35.0,35.509997999999996,436500,35.509997999999996
2015-12-30,35.130001,35.41,34.919998,35.0,505600,35.0
2015-12-31,35.0,35.82,34.630001,34.919998,604700,34.919998
2016-01-04,33.700001,33.700001,31.389999,31.969998999999998,999900,31.969998999999998
2016-01-05,32.060001,32.900002,31.700001,32.419998,1158200,32.419998
2016-01-06,31.959999,32.740002000000004,31.139999,31.6,1073500,31.6
2016-01-07,30.27,31.4,30.110001,30.860001,1196300,30.860001
2016-01-08,31.190001000000002,31.629998999999998,30.57,30.73,525700,30.73
2016-01-11,30.75,30.85,28.02,28.07,1904200,28.07
2016-01-12,28.6,29.41,28.51,28.940001000000002,986900,28.940001000000002
2016-01-13,29.02,29.719998999999998,28.58,28.940001000000002,884000,28.940001000000002
2016-01-14,29.07,29.610001,28.6,29.049999,1298300,29.049999
2016-01-15,28.26,28.6,26.690001000000002,27.139999,987700,27.139999
