Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,14.17,14.56,13.82,14.55,132000,14.55
2015-12-16,14.52,15.14,14.52,15.01,118000,15.01
2015-12-17,14.96,15.04,13.53,14.15,207200,14.15
2015-12-18,14.04,14.53,13.6,13.7,97300,13.7
2015-12-21,13.75,13.95,13.52,13.63,108700,13.63
2015-12-22,13.64,13.68,13.4,13.53,97600,13.53
2015-12-23,13.63,14.33,13.23,13.36,313100,13.36
2015-12-24,12.65,12.84,12.0,12.63,340000,12.63
2015-12-28,12.86,12.86,12.31,12.42,373900,12.42
2015-12-29,12.43,12.89,12.43,12.77,179300,12.77
2015-12-30,12.63,12.86,12.58,12.6,120200,12.6
2015-12-31,12.56,12.64,12.34,12.59,103700,12.59
2016-01-04,12.47,12.54,12.2,12.26,132800,12.26
2016-01-05,12.26,12.41,11.95,12.25,159900,12.25
2016-01-06,12.05,12.16,11.84,11.89,94300,11.89
2016-01-07,11.71,12.09,11.4,11.97,211900,11.97
2016-01-08,12.15,12.15,11.73,11.76,62400,11.76
2016-01-11,11.88,11.94,11.25,11.42,138100,11.42
2016-01-12,11.47,11.82,11.05,11.21,122800,11.21
2016-01-13,11.3,11.63,10.82,10.92,127000,10.92
2016-01-14,10.89,11.05,10.52,10.88,94700,10.88
