Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,20.700001,21.24,20.68,21.09,335700,21.09
2015-12-16,21.200001,21.379998999999998,20.530001000000002,20.68,361800,20.68
2015-12-17,20.700001,20.940001000000002,20.67,20.780001000000002,269100,20.780001000000002
2015-12-18,20.709999,20.93,20.66,20.860001,556100,20.860001
2015-12-21,20.959999,21.08,20.700001,20.889999,223700,20.889999
2015-12-22,20.93,21.129998999999998,20.639999,21.1,186700,21.1
2015-12-23,21.209999,21.620001000000002,21.17,21.57,227200,21.57
2015-12-24,21.530001000000002,21.59,21.360001,21.370001000000002,108000,21.370001000000002
2015-12-28,21.27,21.42,20.940001000000002,21.26,169100,21.26
2015-12-29,21.35,21.51,21.209999,21.51,160300,21.51
2015-12-30,21.42,21.450001,20.860001,20.879998999999998,344700,20.879998999999998
2015-12-31,20.82,20.950001,20.66,20.67,260800,20.67
2016-01-04,20.370001000000002,20.370001000000002,19.99,20.24,259300,20.24
2016-01-05,20.299999,20.530001000000002,20.139999,20.48,521400,20.48
2016-01-06,20.139999,20.190001000000002,19.620001000000002,19.75,573800,19.75
2016-01-07,19.389999,19.469998999999998,18.860001,18.870001000000002,439400,18.870001000000002
2016-01-08,18.969998999999998,19.1,18.73,18.76,606300,18.76
2016-01-11,18.84,19.040001,18.559998999999998,18.93,443400,18.93
2016-01-12,19.09,19.120001000000002,18.620001000000002,19.030001000000002,468900,19.030001000000002
2016-01-13,19.030001000000002,19.26,18.870001000000002,18.950001,615500,18.950001
2016-01-14,19.02,19.629998999999998,18.85,19.469998999999998,703100,19.469998999999998
