Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,8.83,8.83,8.57,8.71,3713400,8.71
2015-12-22,8.75,8.84,8.7,8.76,2762400,8.76
2015-12-23,8.81,9.05,8.78,9.01,2788700,9.01
2015-12-24,9.0,9.12,9.0,9.06,1115700,9.06
2015-12-28,9.04,9.2,9.0,9.19,3120800,9.19
2015-12-29,9.26,9.33,9.16,9.23,3307600,9.23
2015-12-30,9.19,9.32,9.18,9.23,1871700,9.23
2015-12-31,9.19,9.29,9.14,9.18,2492800,9.18
2016-01-04,9.04,9.25,9.04,9.23,4442900,9.23
2016-01-05,9.21,9.3,8.79,8.83,5406200,8.83
2016-01-06,8.71,9.01,8.7,8.88,5250200,8.88
2016-01-07,8.71,8.83,8.51,8.65,4542700,8.65
2016-01-08,8.72,8.72,8.35,8.38,3003500,8.38
2016-01-11,8.43,8.48,8.14,8.24,4480300,8.24
2016-01-12,8.32,8.48,8.1,8.25,4669200,8.25
2016-01-13,8.25,8.33,8.01,8.06,4263800,8.06
2016-01-14,8.05,8.21,7.86,8.11,4398500,8.11
2016-01-15,7.86,7.98,7.72,7.87,3590600,7.87
