Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.95,11.34,10.87,11.29,187200,11.29
2015-12-16,11.33,11.43,11.1,11.34,136600,11.34
2015-12-17,11.41,11.76,11.18,11.19,311900,11.19
2015-12-18,11.12,11.16,10.92,10.98,747000,10.98
2015-12-21,11.03,11.4,11.03,11.35,519100,11.35
2015-12-22,11.38,11.38,11.21,11.26,279500,11.26
2015-12-23,11.29,11.44,11.16,11.2,290100,11.2
2015-12-24,11.17,11.33,11.13,11.24,114200,11.24
2015-12-28,11.21,11.28,10.97,11.26,196500,11.26
2015-12-29,11.29,11.47,11.25,11.3,148400,11.3
2015-12-30,11.3,11.3,10.94,10.95,136600,10.95
2015-12-31,10.96,11.03,10.65,10.68,247600,10.68
2016-01-04,10.46,10.48,10.16,10.27,285400,10.27
2016-01-05,10.29,10.35,10.2,10.25,217700,10.25
2016-01-06,10.11,10.23,9.94,10.12,374100,10.12
2016-01-07,9.96,10.09,9.9,9.98,290700,9.98
2016-01-08,10.01,10.12,9.33,9.36,381600,9.36
2016-01-11,9.41,9.68,9.41,9.66,223800,9.66
2016-01-12,9.8,9.89,9.3,9.44,233700,9.44
2016-01-13,9.45,9.6,9.15,9.25,182200,9.25
2016-01-14,9.25,9.5,9.18,9.28,200600,9.28
