Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,4.72,4.86,4.63,4.81,1137100,4.81
2015-12-16,4.86,4.88,4.73,4.82,701700,4.82
2015-12-17,4.8,4.89,4.76,4.81,805700,4.81
2015-12-18,4.79,4.9,4.59,4.61,3649700,4.61
2015-12-21,4.67,4.72,4.56,4.6,338300,4.6
2015-12-22,4.55,4.69,4.48,4.65,547000,4.65
2015-12-23,4.69,4.71,4.6,4.66,464900,4.66
2015-12-24,4.65,4.68,4.57,4.59,225900,4.59
2015-12-28,4.62,4.7,4.58,4.67,396600,4.67
2015-12-29,4.66,4.71,4.53,4.58,370400,4.58
2015-12-30,4.59,4.63,4.5,4.54,509600,4.54
2015-12-31,4.55,4.61,4.3,4.38,604900,4.38
2016-01-04,4.31,4.43,4.2,4.26,1161900,4.26
2016-01-05,4.25,4.3,4.12,4.21,574100,4.21
2016-01-06,4.16,4.19,4.1,4.14,411400,4.14
2016-01-07,4.07,4.11,3.88,4.01,1258600,4.01
2016-01-08,4.02,4.28,3.81,3.82,816100,3.82
2016-01-11,3.86,3.92,3.75,3.87,604600,3.87
2016-01-12,3.89,3.93,3.66,3.72,525900,3.72
2016-01-13,3.75,3.87,3.6,3.68,931100,3.68
2016-01-14,3.71,3.84,3.65,3.76,521200,3.76
