Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,17.459999,17.540001,16.719998999999998,17.01,403600,17.01
2015-12-22,16.940001000000002,16.940001000000002,16.540001,16.65,338300,16.65
2015-12-23,16.82,17.18,16.700001,17.059998999999998,254800,17.059998999999998
2015-12-24,17.01,17.49,16.790001,17.43,171600,17.43
2015-12-28,17.59,17.639999,16.58,16.889999,314900,16.889999
2015-12-29,17.17,17.43,16.83,17.049999,379700,17.049999
2015-12-30,17.0,17.08,16.35,16.49,342700,16.49
2015-12-31,16.370001000000002,16.82,16.23,16.389999,318900,16.389999
2016-01-04,16.02,16.25,15.19,15.38,519600,15.38
2016-01-05,15.53,15.77,15.34,15.51,382100,15.51
2016-01-06,15.37,15.85,15.01,15.39,325900,15.39
2016-01-07,15.13,15.72,14.55,14.6,365500,14.6
2016-01-08,14.85,15.6,14.45,14.47,291800,14.47
2016-01-11,14.61,15.0,14.54,14.93,445200,14.93
2016-01-12,14.6,15.15,14.11,14.33,265400,14.33
2016-01-13,14.41,14.41,13.07,13.18,457600,13.18
2016-01-14,13.18,14.07,13.18,13.81,341200,13.81
2016-01-15,13.34,13.85,13.16,13.78,407500,13.78
