Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.82,0.85,0.82,0.83,37600,0.83
2015-12-22,0.82,0.85,0.82,0.84,58500,0.84
2015-12-23,0.84,0.93,0.84,0.88,156500,0.88
2015-12-24,0.88,0.9,0.87,0.9,19400,0.9
2015-12-28,0.86,0.91,0.85,0.87,48200,0.87
2015-12-29,0.9,0.9,0.85,0.85,45200,0.85
2015-12-30,0.9,0.9,0.86,0.86,48300,0.86
2015-12-31,0.91,0.91,0.81,0.83,42700,0.83
2016-01-04,0.87,0.87,0.83,0.83,53900,0.83
2016-01-05,0.83,0.85,0.81,0.82,30200,0.82
2016-01-06,0.83,0.84,0.81,0.82,49400,0.82
2016-01-07,0.82,0.86,0.82,0.82,10000,0.82
2016-01-08,0.82,0.85,0.8,0.82,60800,0.82
2016-01-11,0.83,0.85,0.82,0.82,15500,0.82
2016-01-12,0.8,0.85,0.72,0.73,169000,0.73
2016-01-13,0.72,0.84,0.7,0.71,55700,0.71
2016-01-14,0.73,0.73,0.71,0.73,50000,0.73
2016-01-15,0.74,0.74,0.7,0.72,21300,0.72
