Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.08,2.21,2.08,2.18,55800,2.18
2015-12-22,2.07,2.15,2.06,2.1,65500,2.1
2015-12-23,2.09,2.12,2.03,2.06,270800,2.06
2015-12-24,2.08,2.2,2.06,2.16,24200,2.16
2015-12-28,2.14,2.38,2.13,2.35,82200,2.35
2015-12-29,2.36,2.46,2.32,2.35,65000,2.35
2015-12-30,2.34,2.39,2.29,2.38,88500,2.38
2015-12-31,2.4,2.55,2.39,2.5,107100,2.5
2016-01-04,2.51,2.59,2.41,2.5,84200,2.5
2016-01-05,2.52,2.52,2.32,2.36,83900,2.36
2016-01-06,2.3409999999999997,2.38,2.31,2.34,46800,2.34
2016-01-07,2.3,2.33,2.25,2.28,47100,2.28
2016-01-08,2.28,2.32,2.12,2.16,80100,2.16
2016-01-11,2.18,2.19,2.01,2.03,84300,2.03
2016-01-12,2.05,2.1,1.99,1.99,78300,1.99
2016-01-13,2.03,2.03,1.95,1.95,51700,1.95
2016-01-14,1.94,1.99,1.81,1.98,39800,1.98
2016-01-15,1.95,1.98,1.9,1.96,42600,1.96
