Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,4.28,4.3,3.93,4.03,837600,4.03
2015-12-22,4.04,4.12,3.94,4.11,285400,4.11
2015-12-23,4.13,4.25,4.13,4.21,782200,4.21
2015-12-24,4.2,4.28,4.16,4.2,220400,4.2
2015-12-28,4.16,4.26,4.05,4.21,1163200,4.21
2015-12-29,4.2,4.24,4.08,4.18,741500,4.18
2015-12-30,4.15,4.44,4.15,4.39,576400,4.39
2015-12-31,4.35,4.45,4.21,4.27,538000,4.27
2016-01-04,4.17,4.18,3.98,4.15,657500,4.15
2016-01-05,4.17,4.17,4.0,4.14,279100,4.14
2016-01-06,4.06,4.09,3.86,3.87,552100,3.87
2016-01-07,3.77,3.79,3.49,3.62,675400,3.62
2016-01-08,3.62,4.01,3.62,3.95,938800,3.95
2016-01-11,3.99,4.0,3.78,3.94,762300,3.94
2016-01-12,3.98,4.05,3.66,3.75,449500,3.75
2016-01-13,3.75,3.88,3.59,3.75,715700,3.75
2016-01-14,3.79,3.8,3.49,3.51,541400,3.51
2016-01-15,3.39,3.5,3.33,3.49,399500,3.49
