Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,5.58,5.78,5.47,5.78,12400,5.684391000000001
2015-12-22,5.84,5.84,5.78,5.78,1300,5.684391000000001
2015-12-23,6.1,6.73,6.1,6.49,33300,6.382646
2015-12-24,6.55,6.66,6.32,6.45,13000,6.343308
2015-12-28,6.45,6.65,6.18,6.65,46200,6.54
2015-12-29,6.46,6.86,6.44,6.56,11400,6.56
2015-12-30,7.0,7.18,6.7,6.7,9500,6.7
2015-12-31,6.97,6.97,6.88,6.94,1200,6.94
2016-01-04,6.67,6.95,6.5,6.77,13100,6.77
2016-01-05,6.84,6.85,6.52,6.85,9400,6.85
2016-01-06,6.71,6.82,6.55,6.55,23500,6.55
2016-01-07,6.54,6.55,6.21,6.21,6400,6.21
2016-01-08,6.31,6.31,6.19,6.2,4800,6.2
2016-01-11,6.43,6.43,6.1,6.13,12200,6.13
2016-01-12,6.39,6.77,6.05,6.2,7600,6.2
2016-01-13,6.64,6.64,6.05,6.08,8600,6.08
2016-01-14,6.06,6.17,6.04,6.17,1100,6.17
2016-01-15,6.01,6.06,5.81,5.9,7700,5.9
