Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,7.45,7.45,7.42,7.45,264400,7.45
2015-12-22,7.44,7.48,7.43,7.44,278300,7.44
2015-12-23,7.45,7.48,7.43,7.46,131400,7.46
2015-12-24,7.45,7.47,7.43,7.45,71400,7.45
2015-12-28,7.44,7.45,7.42,7.44,123400,7.44
2015-12-29,7.45,7.47,7.44,7.44,97300,7.44
2015-12-30,7.46,7.46,7.44,7.44,63500,7.44
2015-12-31,7.45,7.45,7.44,7.45,41000,7.45
2016-01-04,7.43,7.45,7.36,7.42,312000,7.42
2016-01-05,7.4,7.44,7.4,7.42,85300,7.42
2016-01-06,7.4,7.45,7.4,7.43,81500,7.43
2016-01-07,7.4,7.42,7.36,7.38,295900,7.38
2016-01-08,7.41,7.43,7.36,7.36,125300,7.36
2016-01-11,7.36,7.38,7.27,7.35,195500,7.35
2016-01-12,7.35,7.41,7.34,7.35,99400,7.35
2016-01-13,7.36,7.4,7.34,7.35,150400,7.35
2016-01-14,7.35,7.37,7.29,7.31,118000,7.31
2016-01-15,7.26,7.28,7.2,7.25,181300,7.25
