Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,5.48,5.51,5.34,5.4,34700,5.4
2015-12-16,5.56,5.64,5.43,5.58,25100,5.58
2015-12-17,5.53,5.64,5.5,5.62,15000,5.62
2015-12-18,5.58,5.62,5.36,5.55,56900,5.55
2015-12-21,5.56,5.61,5.41,5.59,19900,5.59
2015-12-22,5.6,5.6,5.42,5.49,24300,5.49
2015-12-23,5.5,5.5,4.9,5.39,1381100,5.39
2015-12-24,5.38,5.47,5.34,5.4,11100,5.4
2015-12-28,5.29,5.61,5.28,5.56,69700,5.56
2015-12-29,5.58,5.62,5.41,5.54,45000,5.54
2015-12-30,5.5,5.65,5.5,5.6,89000,5.6
2015-12-31,5.6,5.68,5.38,5.5,41800,5.5
2016-01-04,5.36,5.5,5.2,5.26,29900,5.26
2016-01-05,5.29,5.44,5.2,5.2,30200,5.2
2016-01-06,5.02,5.46,5.02,5.2,23900,5.2
2016-01-07,5.19,5.2,5.12,5.12,24200,5.12
2016-01-08,5.12,5.2,4.95,5.01,44700,5.01
2016-01-11,5.01,5.2,4.96,5.2,62700,5.2
2016-01-12,5.2,5.25,5.0,5.14,40400,5.14
2016-01-13,5.13,5.3,5.02,5.04,30000,5.04
2016-01-14,5.03,5.16,5.0,5.0,39400,5.0
