Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.79,2.85,2.65,2.66,22200,2.66
2015-12-16,2.65,2.65,2.5,2.51,44600,2.51
2015-12-17,2.63,2.99,2.5,2.59,13300,2.59
2015-12-18,2.73,2.9,2.19,2.19,78600,2.19
2015-12-21,2.28,2.3,2.11,2.13,29300,2.13
2015-12-22,2.06,2.24,1.98,2.0,14800,2.0
2015-12-23,2.0,2.13,1.95,2.02,27400,2.02
2015-12-24,2.34,2.34,2.05,2.2,32700,2.2
2015-12-28,2.25,2.99,2.2,2.24,18300,2.24
2015-12-29,2.24,2.26,2.07,2.08,31700,2.08
2015-12-30,2.03,2.26,2.0,2.25,90700,2.25
2015-12-31,2.26,2.6,2.26,2.59,36100,2.59
2016-01-04,2.53,2.64,2.3,2.32,55000,2.32
2016-01-05,2.37,2.39,2.27,2.34,2800,2.34
2016-01-06,2.6,2.6,2.15,2.21,19400,2.21
2016-01-07,2.12,2.2,2.05,2.06,18300,2.06
2016-01-08,2.07,2.08,2.05,2.05,30700,2.05
2016-01-11,2.02,2.09,1.92,2.02,45500,2.02
2016-01-12,2.07,2.07,1.94,1.95,3600,1.95
2016-01-13,1.93,1.95,1.85,1.86,17100,1.86
2016-01-14,1.9,2.0,1.88,1.95,31900,1.95
