Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,6.64,6.79,6.51,6.57,169500,6.57
2015-12-22,6.6,6.63,6.25,6.26,251500,6.26
2015-12-23,6.32,6.36,5.94,5.99,463800,5.99
2015-12-24,6.03,6.36,6.02,6.31,155200,6.31
2015-12-28,6.24,6.37,5.81,5.95,557100,5.95
2015-12-29,6.01,6.41,6.0,6.36,409000,6.36
2015-12-30,6.43,6.43,6.21,6.24,258400,6.24
2015-12-31,6.23,6.25,6.08,6.13,233100,6.13
2016-01-04,6.05,6.15,6.0,6.0,330900,6.0
2016-01-05,6.02,6.08,5.83,5.97,245300,5.97
2016-01-06,5.77,6.01,5.75,5.85,323000,5.85
2016-01-07,5.75,5.93,5.74,5.78,197100,5.78
2016-01-08,5.83,5.86,5.56,5.58,238900,5.58
2016-01-11,5.55,5.69,5.52,5.61,133000,5.61
2016-01-12,5.65,5.7,5.51,5.61,135000,5.61
2016-01-13,5.65,5.69,5.45,5.47,264600,5.47
2016-01-14,5.54,5.82,5.41,5.68,178800,5.68
2016-01-15,5.55,5.67,5.42,5.66,273200,5.66
