Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,3.89,4.01,3.76,4.0,560300,4.0
2015-12-22,3.98,4.25,3.98,4.11,572400,4.11
2015-12-23,4.12,4.21,4.07,4.11,320500,4.11
2015-12-24,4.09,4.3,4.09,4.12,260800,4.12
2015-12-28,4.07,4.15,3.83,4.06,393500,4.06
2015-12-29,4.12,4.14,3.88,3.94,410200,3.94
2015-12-30,3.86,4.0,3.76,3.92,917100,3.92
2015-12-31,3.9,4.1,3.82,3.85,619600,3.85
2016-01-04,3.78,3.78,3.41,3.66,659500,3.66
2016-01-05,3.73,3.73,3.49,3.62,385200,3.62
2016-01-06,3.55,3.86,3.53,3.72,376100,3.72
2016-01-07,3.65,3.67,3.43,3.43,552900,3.43
2016-01-08,3.43,3.59,3.31,3.32,586500,3.32
2016-01-11,3.3,3.46,3.15,3.4,630400,3.4
2016-01-12,3.44,3.5,3.27,3.36,767600,3.36
2016-01-13,3.36,3.53,3.15,3.15,351900,3.15
2016-01-14,3.2,3.37,3.11,3.33,936900,3.33
2016-01-15,3.22,3.25,2.92,3.17,477600,3.17
