Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,3.2,3.72,3.1,3.59,2602600,3.59
2015-12-22,3.65,3.98,3.44,3.54,2480200,3.54
2015-12-23,3.64,3.86,3.5,3.68,1401600,3.68
2015-12-24,3.66,3.85,3.6,3.62,530600,3.62
2015-12-28,3.58,3.61,3.37,3.59,768700,3.59
2015-12-29,3.66,3.83,3.4,3.46,882000,3.46
2015-12-30,3.54,3.72,3.45,3.5,976000,3.5
2015-12-31,3.51,3.6,3.4,3.51,618200,3.51
2016-01-04,3.43,3.56,3.19,3.49,750200,3.49
2016-01-05,3.63,3.73,3.35,3.35,1152600,3.35
2016-01-06,3.3,3.35,3.08,3.16,748800,3.16
2016-01-07,3.02,3.16,2.93,3.0,1003800,3.0
2016-01-08,3.1,3.17,2.9,2.99,978400,2.99
2016-01-11,3.0,3.05,2.73,2.8,908600,2.8
2016-01-12,2.83,2.92,2.42,2.71,1159200,2.71
2016-01-13,2.68,2.87,2.42,2.5,605700,2.5
2016-01-14,2.49,2.49,2.25,2.35,811600,2.35
2016-01-15,2.25,2.32,2.05,2.19,1084800,2.19
