Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,13.64,13.72,13.29,13.56,75900,13.466123000000001
2015-12-22,13.55,13.68,13.45,13.63,57100,13.535639000000002
2015-12-23,13.66,13.93,13.55,13.81,61500,13.714393
2015-12-24,13.78,13.93,13.65,13.74,21200,13.644877
2015-12-28,13.66,13.84,13.47,13.79,79500,13.694531
2015-12-29,13.83,14.0,13.61,14.0,111700,13.903077
2015-12-30,13.98,14.06,13.64,13.65,45300,13.5555
2015-12-31,13.6,13.64,13.02,13.07,71900,12.979515
2016-01-04,12.91,13.01,12.48,13.0,142400,12.91
2016-01-05,12.93,13.0,12.91,12.92,67000,12.92
2016-01-06,12.69,12.76,11.88,12.03,292800,12.03
2016-01-07,11.94,12.24,11.6,11.6,139200,11.6
2016-01-08,11.6,11.85,11.44,11.6,247700,11.6
2016-01-11,11.66,12.31,11.51,12.27,105300,12.27
2016-01-12,12.35,12.35,11.72,12.03,103800,12.03
2016-01-13,12.07,12.07,11.65,11.85,115200,11.85
2016-01-14,11.98,12.65,11.59,11.79,95200,11.79
2016-01-15,11.42,11.72,11.25,11.62,128800,11.62
