Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.05,6.17,5.94,6.02,192300,6.02
2015-12-16,6.0,6.35,6.0,6.14,224100,6.14
2015-12-17,6.17,6.2,6.0,6.02,204700,6.02
2015-12-18,5.94,6.15,5.93,6.04,417800,6.04
2015-12-21,6.09,6.15,6.0,6.06,136900,6.06
2015-12-22,6.09,6.37,5.94,6.15,387100,6.15
2015-12-23,6.17,6.44,6.08,6.26,551700,6.26
2015-12-24,6.25,6.36,6.15,6.18,226200,6.18
2015-12-28,6.16,6.17,5.96,6.09,124800,6.09
2015-12-29,6.11,6.24,5.98,6.22,81700,6.22
2015-12-30,6.19,6.33,6.11,6.13,105800,6.13
2015-12-31,6.02,6.18,5.99,6.02,107400,6.02
2016-01-04,5.97,6.02,5.75,6.01,181900,6.01
2016-01-05,6.04,6.06,5.74,5.77,105200,5.77
2016-01-06,5.66,5.79,5.6,5.77,138100,5.77
2016-01-07,5.35,5.43,4.83,4.87,515500,4.87
2016-01-08,4.9,5.0,4.83,4.89,192200,4.89
2016-01-11,4.87,4.97,4.71,4.83,162000,4.83
2016-01-12,4.89,5.06,4.64,4.75,150300,4.75
2016-01-13,4.75,4.89,4.64,4.76,157100,4.76
2016-01-14,4.79,4.88,4.52,4.77,319600,4.77
