Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,11.09,11.11,10.72,10.98,22300,10.98
2015-12-22,11.05,11.09,10.91,11.08,21000,11.08
2015-12-23,11.0,11.06,10.8,11.05,7300,11.05
2015-12-24,11.03,11.22,11.03,11.06,3000,11.06
2015-12-28,11.08,11.18,10.67,10.68,18400,10.68
2015-12-29,10.8,11.1,10.7,11.07,22600,11.07
2015-12-30,11.07,11.5,11.07,11.39,11500,11.39
2015-12-31,11.45,11.68,11.35,11.61,25000,11.61
2016-01-04,11.38,11.58,10.19,11.57,19800,11.57
2016-01-05,11.54,11.85,11.15,11.6,43300,11.6
2016-01-06,11.53,11.75,11.32,11.45,21800,11.45
2016-01-07,10.86,11.48,10.85,11.38,4200,11.38
2016-01-08,11.3,11.63,11.3,11.46,54500,11.46
2016-01-11,11.55,11.64,11.3,11.47,37600,11.47
2016-01-12,11.48,11.49,11.01,11.1,23700,11.1
2016-01-13,11.4,11.4,10.91,11.13,10600,11.13
2016-01-14,11.16,11.5,10.76,10.87,19600,10.87
2016-01-15,10.33,10.75,10.18,10.37,25000,10.37
