Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,8.66,8.8,8.64,8.76,108500,8.76
2015-12-22,8.78,8.83,8.6,8.82,147000,8.82
2015-12-23,8.91,9.04,8.72,9.03,171000,9.03
2015-12-24,9.03,9.13,8.97,9.11,70900,9.11
2015-12-28,9.02,9.11,8.7,9.11,184000,9.11
2015-12-29,9.13,9.37,8.88,9.33,185000,9.33
2015-12-30,9.3,9.3,9.11,9.16,126500,9.16
2015-12-31,9.12,9.18,8.81,9.0,199400,9.0
2016-01-04,8.87,8.98,8.51,8.59,171900,8.59
2016-01-05,8.62,8.69,8.45,8.64,166600,8.64
2016-01-06,8.54,8.58,8.33,8.44,135300,8.44
2016-01-07,8.28,8.31,8.05,8.18,173500,8.18
2016-01-08,8.22,8.4,7.73,7.76,199200,7.76
2016-01-11,7.77,7.88,7.69,7.87,112900,7.87
2016-01-12,7.97,7.97,7.67,7.81,129300,7.81
2016-01-13,7.82,7.99,7.56,7.65,209100,7.65
2016-01-14,7.67,7.91,7.57,7.8,165100,7.8
2016-01-15,7.57,7.73,7.42,7.62,209900,7.62
