Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,3.85,3.94,3.85,3.9,17300,3.9
2015-12-22,3.92,3.95,3.86,3.92,14900,3.92
2015-12-23,3.88,3.97,3.88,3.92,10100,3.92
2015-12-24,3.9,3.9,3.88,3.88,13400,3.88
2015-12-28,3.85,3.9,3.8,3.8,72400,3.8
2015-12-29,3.81,3.82,3.8,3.8,38700,3.8
2015-12-30,3.8,3.82,3.75,3.75,39900,3.75
2015-12-31,3.77,3.86,3.72,3.72,49500,3.72
2016-01-04,3.71,3.8,3.7,3.76,27900,3.76
2016-01-05,3.76,3.76,3.72,3.72,91900,3.72
2016-01-06,3.72,3.75,3.72,3.72,33500,3.72
2016-01-07,3.69,3.78,3.66,3.66,25800,3.66
2016-01-08,3.64,3.79,3.6,3.6,36600,3.6
2016-01-11,3.6,3.62,3.45,3.55,92900,3.55
2016-01-12,3.54,3.54,3.35,3.35,113400,3.35
2016-01-13,3.51,3.52,3.33,3.34,59300,3.34
2016-01-14,3.34,3.6,3.34,3.53,38100,3.53
2016-01-15,3.43,3.53,3.43,3.44,24000,3.44
