Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,3.51,3.51,3.2,3.27,251100,3.27
2015-12-22,3.33,3.4,3.24,3.39,158400,3.39
2015-12-23,3.39,3.47,3.3,3.32,208100,3.32
2015-12-24,3.4,3.45,3.31,3.43,152700,3.43
2015-12-28,3.43,3.47,3.36,3.42,187400,3.42
2015-12-29,3.43,3.49,3.38,3.47,303200,3.47
2015-12-30,3.5,3.5,3.26,3.33,258200,3.33
2015-12-31,3.34,3.37,3.22,3.24,185600,3.24
2016-01-04,3.21,3.21,3.03,3.13,240700,3.13
2016-01-05,3.21,3.21,2.99,2.99,319300,2.99
2016-01-06,2.97,2.99,2.83,2.87,468300,2.87
2016-01-07,2.81,2.82,2.7,2.71,400600,2.71
2016-01-08,2.69,2.78,2.65,2.72,1203800,2.72
2016-01-11,2.73,2.78,2.69,2.75,216000,2.75
2016-01-12,2.78,2.88,2.65,2.68,225600,2.68
2016-01-13,2.68,2.76,2.56,2.66,465600,2.66
2016-01-14,2.74,2.85,2.68,2.75,274300,2.75
2016-01-15,2.67,2.81,2.67,2.79,284100,2.79
