Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,8.5,8.99,8.48,8.88,4288000,8.88
2015-12-22,8.88,8.9,8.39,8.44,3777500,8.44
2015-12-23,8.49,8.6,8.22,8.29,3242700,8.29
2015-12-24,8.3,8.44,8.22,8.39,1050800,8.39
2015-12-28,8.33,8.55,8.3,8.55,1687500,8.55
2015-12-29,8.6,8.88,8.51,8.56,2016100,8.56
2015-12-30,8.54,8.54,8.31,8.33,1816900,8.33
2015-12-31,8.3,8.36,8.14,8.2,1959900,8.2
2016-01-04,8.1,8.65,8.05,8.59,3532200,8.59
2016-01-05,8.68,8.68,8.08,8.15,3630600,8.15
2016-01-06,8.04,8.12,7.74,7.75,3941400,7.75
2016-01-07,7.5,7.64,7.22,7.41,4381600,7.41
2016-01-08,7.43,7.82,7.25,7.29,2067300,7.29
2016-01-11,7.36,7.5,6.91,7.09,3547200,7.09
2016-01-12,7.16,7.24,6.97,7.1,1986700,7.1
2016-01-13,7.1,7.21,6.9,6.95,2051300,6.95
2016-01-14,6.95,7.24,6.84,7.12,2343900,7.12
2016-01-15,6.86,7.04,6.72,6.79,2424300,6.79
