Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,4.25,4.37,4.19,4.34,704500,4.34
2015-12-16,4.43,4.46,4.28,4.3,585100,4.3
2015-12-17,4.31,4.35,4.18,4.21,333700,4.21
2015-12-18,4.2,4.25,4.12,4.21,1343600,4.21
2015-12-21,4.19,4.24,4.1,4.24,583900,4.24
2015-12-22,4.27,4.27,4.2,4.2,313400,4.2
2015-12-23,4.22,4.26,4.15,4.21,448400,4.21
2015-12-24,4.24,4.33,4.24,4.31,173800,4.31
2015-12-28,4.27,4.3,4.11,4.18,426400,4.18
2015-12-29,4.23,4.25,4.18,4.2,381700,4.2
2015-12-30,4.2,4.22,4.15,4.16,298500,4.16
2015-12-31,4.15,4.2,4.07,4.07,426500,4.07
2016-01-04,4.03,4.04,3.91,3.95,455300,3.95
2016-01-05,3.93,3.95,3.65,3.68,1778000,3.68
2016-01-06,3.64,3.76,3.59,3.64,972900,3.64
2016-01-07,3.58,3.62,3.48,3.53,464700,3.53
2016-01-08,3.52,3.6,3.45,3.46,604800,3.46
2016-01-11,3.46,3.51,3.43,3.5,589600,3.5
2016-01-12,3.52,3.58,3.36,3.43,629200,3.43
2016-01-13,3.51,3.53,3.27,3.33,1093100,3.33
2016-01-14,3.45,3.51,3.32,3.4,802000,3.4
