Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,14.12,14.4,13.87,14.02,9857700,14.02
2015-12-22,14.04,14.14,13.92,14.06,7284400,14.06
2015-12-23,14.19,14.97,14.05,14.91,11252000,14.91
2015-12-24,14.81,15.17,14.79,15.02,2178500,15.02
2015-12-28,14.89,15.28,14.82,15.23,5930600,15.23
2015-12-29,15.29,15.437000000000001,15.18,15.2,6273500,15.2
2015-12-30,15.29,15.48,15.15,15.28,6275200,15.28
2015-12-31,15.23,15.31,15.1,15.2,6637700,15.2
2016-01-04,14.97,15.15,14.74,15.13,14978500,15.13
2016-01-05,15.13,15.25,14.94,15.03,10284200,15.03
2016-01-06,14.62,15.0,14.51,14.8,11291500,14.8
2016-01-07,14.5,14.56,13.65,13.71,17612400,13.71
2016-01-08,13.77,14.02,13.31,13.54,16394900,13.54
2016-01-11,13.43,13.71,13.07,13.26,15107300,13.26
2016-01-12,13.35,13.42,13.09,13.26,12455000,13.26
2016-01-13,13.35,13.35,12.53,12.75,17678300,12.75
2016-01-14,12.75,13.17,12.65,13.0,13342800,13.0
2016-01-15,12.6,12.8,12.49,12.54,19673300,12.54
