Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.15,2.17,2.12,2.17,3500,2.17
2015-12-22,2.15,2.18,2.07,2.16,20600,2.16
2015-12-23,2.13,2.15,2.07,2.13,40000,2.13
2015-12-24,2.13,2.14,2.06,2.11,1300,2.11
2015-12-28,2.1,2.15,2.1,2.13,65500,2.13
2015-12-29,2.07,2.33,2.07,2.3,91000,2.3
2015-12-30,2.35,2.35,2.25,2.31,55000,2.31
2015-12-31,2.31,2.35,2.28,2.32,46100,2.32
2016-01-04,2.24,2.24,2.11,2.16,34400,2.16
2016-01-05,2.13,2.2,2.13,2.2,17900,2.2
2016-01-06,2.2,2.2,2.16,2.19,25500,2.19
2016-01-07,2.22,2.3,2.16,2.28,47600,2.28
2016-01-08,2.31,2.32,2.25,2.26,32700,2.26
2016-01-11,2.28,2.28,2.11,2.14,11400,2.14
2016-01-12,2.2,2.2,2.09,2.12,78200,2.12
2016-01-13,2.19,2.19,2.08,2.08,17500,2.08
2016-01-14,2.12,2.14,2.1,2.12,34000,2.12
2016-01-15,2.09,2.09,2.0,2.03,36300,2.03
