Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.27,6.4,6.24,6.32,130400,6.32
2015-12-16,6.35,6.52,6.33,6.43,199000,6.43
2015-12-17,6.43,6.55,6.24,6.41,256900,6.41
2015-12-18,6.37,6.69,6.37,6.56,300800,6.56
2015-12-21,6.59,6.62,6.45,6.51,254400,6.51
2015-12-22,6.5,6.68,6.2,6.66,224300,6.66
2015-12-23,6.65,6.82,6.65,6.73,180200,6.73
2015-12-24,6.76,6.87,6.71,6.75,76500,6.75
2015-12-28,6.73,6.75,6.57,6.74,178400,6.74
2015-12-29,6.79,6.82,6.6,6.65,176200,6.65
2015-12-30,6.63,6.7,6.38,6.43,182800,6.43
2015-12-31,6.39,6.48,6.21,6.4,254200,6.4
2016-01-04,6.25,6.27,5.89,6.04,216600,6.04
2016-01-05,6.03,6.25,6.0,6.04,140000,6.04
2016-01-06,5.95,6.1,5.95,6.06,223500,6.06
2016-01-07,5.98,5.98,5.72,5.74,287100,5.74
2016-01-08,5.78,5.87,5.37,5.39,316700,5.39
2016-01-11,5.42,5.64,4.81,5.02,432400,5.02
2016-01-12,5.07,5.18,4.72,4.73,364700,4.73
2016-01-13,4.76,4.95,3.89,3.95,656800,3.95
2016-01-14,4.0,4.43,3.82,4.28,635900,4.28
