Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.46,2.59,2.46,2.52,38200,2.52
2015-12-16,2.55,2.71,2.55,2.61,45600,2.61
2015-12-17,2.64,2.75,2.59,2.69,50700,2.69
2015-12-18,2.65,2.75,2.6,2.65,390100,2.65
2015-12-21,2.7,2.71,2.57,2.58,12100,2.58
2015-12-22,2.63,2.69,2.58,2.69,18100,2.69
2015-12-23,2.61,2.72,2.61,2.68,13800,2.68
2015-12-24,2.66,2.7,2.63,2.63,5700,2.63
2015-12-28,2.67,2.72,2.63,2.64,28000,2.64
2015-12-29,2.65,2.75,2.65,2.67,21800,2.67
2015-12-30,2.75,2.84,2.72,2.81,23100,2.81
2015-12-31,2.82,2.88,2.78,2.85,33200,2.85
2016-01-04,2.82,2.83,2.68,2.69,16400,2.69
2016-01-05,2.75,2.75,2.65,2.65,19600,2.65
2016-01-06,2.72,2.72,2.63,2.63,18300,2.63
2016-01-07,2.63,2.63,2.5,2.52,96300,2.52
2016-01-08,2.51,2.6,2.5,2.52,18000,2.52
2016-01-11,2.56,2.6,2.49,2.49,12600,2.49
2016-01-12,2.57,2.57,2.46,2.48,9800,2.48
2016-01-13,2.45,2.5,2.45,2.45,10700,2.45
2016-01-14,2.45,2.5,2.45,2.48,12600,2.48
