Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.61,10.7,10.04,10.38,3179300,10.38
2015-12-16,10.5,10.82,10.48,10.68,1382700,10.68
2015-12-17,10.7,10.96,10.61,10.62,1317300,10.62
2015-12-18,10.55,10.8,10.34,10.43,2220800,10.43
2015-12-21,10.43,10.74,10.38,10.48,1226000,10.48
2015-12-22,10.48,10.57,10.35,10.57,1318700,10.57
2015-12-23,10.6,11.09,10.58,10.98,1520000,10.98
2015-12-24,10.96,11.23,10.84,11.15,914700,11.15
2015-12-28,11.04,11.05,10.37,10.43,1684500,10.43
2015-12-29,10.51,10.56,10.2,10.55,1486100,10.55
2015-12-30,10.45,10.61,10.19,10.2,1184400,10.2
2015-12-31,10.14,10.36,10.07,10.23,1457000,10.23
2016-01-04,10.01,10.02,9.59,9.78,2490300,9.78
2016-01-05,9.8,9.94,9.36,9.59,2402500,9.59
2016-01-06,9.4,9.44,9.09,9.25,2004400,9.25
2016-01-07,9.05,9.38,9.02,9.22,2369300,9.22
2016-01-08,9.16,9.25,8.29,8.42,5035600,8.42
2016-01-11,8.43,8.45,8.0,8.1,2552400,8.1
2016-01-12,8.22,8.29,7.96,8.28,1900500,8.28
2016-01-13,8.28,8.54,7.81,7.84,2854300,7.84
2016-01-14,7.86,8.27,7.84,8.1,1747800,8.1
