Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,12.98,13.59,12.8,12.99,508500,12.99
2015-12-22,13.03,13.13,12.78,13.01,374600,13.01
2015-12-23,13.05,13.32,13.05,13.11,297700,13.11
2015-12-24,13.06,13.35,13.06,13.28,222300,13.28
2015-12-28,13.2,13.31,13.06,13.31,457200,13.31
2015-12-29,13.36,13.48,12.96,13.39,429400,13.39
2015-12-30,13.31,13.39,13.08,13.12,423300,13.12
2015-12-31,13.05,13.09,12.76,12.76,627100,12.76
2016-01-04,12.49,13.12,12.29,12.53,1186900,12.53
2016-01-05,12.53,12.64,12.23,12.35,836100,12.35
2016-01-06,12.18,12.3,11.81,11.88,728000,11.88
2016-01-07,11.66,11.77,11.48,11.54,1192600,11.54
2016-01-08,11.59,11.7,11.29,11.36,946300,11.36
2016-01-11,11.42,11.51,11.32,11.44,570100,11.44
2016-01-12,11.55,11.7,11.44,11.67,826500,11.67
2016-01-13,11.68,11.83,11.33,11.37,784000,11.37
2016-01-14,11.47,11.67,11.27,11.55,592200,11.55
2016-01-15,11.17,11.3,10.89,11.27,967000,11.27
