Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,2.82,2.9,2.78,2.87,36200,2.87
2015-12-22,2.85,2.87,2.8,2.85,71400,2.85
2015-12-23,2.83,2.83,2.72,2.73,45200,2.73
2015-12-24,2.71,2.85,2.59,2.77,17900,2.77
2015-12-28,2.61,2.82,2.61,2.69,38900,2.69
2015-12-29,2.65,2.69,2.59,2.64,36000,2.64
2015-12-30,2.63,2.7,2.6,2.69,35500,2.69
2015-12-31,2.63,2.77,2.61,2.76,62700,2.76
2016-01-04,2.75,2.85,2.6,2.81,30000,2.81
2016-01-05,2.77,2.87,2.77,2.82,10800,2.82
2016-01-06,2.8,2.92,2.77,2.78,36200,2.78
2016-01-07,2.8,2.82,2.73,2.75,18700,2.75
2016-01-08,2.75,2.8,2.7,2.72,39200,2.72
2016-01-11,2.74,2.74,2.61,2.64,10400,2.64
2016-01-12,2.65,2.83,2.58,2.65,13400,2.65
2016-01-13,2.78,2.78,2.56,2.63,5000,2.63
2016-01-14,2.62,2.79,2.61,2.79,11500,2.79
2016-01-15,2.67,2.78,2.59,2.73,19600,2.73
