Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,24.26,24.48,24.17,24.35,98900,24.35
2015-12-16,24.459999,24.83,24.440001000000002,24.780001000000002,107900,24.780001000000002
2015-12-17,24.790001,25.32,24.73,24.85,135000,24.85
2015-12-18,24.700001,24.780001000000002,24.110001,24.23,201600,24.23
2015-12-21,24.5,24.84,24.32,24.629998999999998,116000,24.629998999999998
2015-12-22,24.700001,25.26,24.52,25.17,109600,25.17
2015-12-23,25.35,25.58,24.719998999999998,24.809998999999998,131700,24.809998999999998
2015-12-24,24.77,25.0,24.709999,24.879998999999998,50500,24.879998999999998
2015-12-28,24.83,25.110001,24.4,24.870001000000002,97900,24.870001000000002
2015-12-29,24.98,25.41,24.91,25.360001,62400,25.360001
2015-12-30,25.370001000000002,25.540001,25.0,25.379998999999998,116900,25.379998999999998
2015-12-31,25.280001000000002,25.5,25.049999,25.280001000000002,148600,25.280001000000002
2016-01-04,24.85,25.0,23.860001,23.91,170100,23.91
2016-01-05,24.01,24.08,23.700001,23.870001000000002,84200,23.870001000000002
2016-01-06,23.6,23.99,23.389999,23.5,116400,23.5
2016-01-07,23.030001000000002,23.73,23.030001000000002,23.26,126200,23.26
2016-01-08,23.49,23.719998999999998,22.42,22.49,182000,22.49
2016-01-11,22.57,23.120001000000002,22.370001000000002,22.969998999999998,137500,22.969998999999998
2016-01-12,23.129998999999998,23.26,22.450001,22.799999,140000,22.799999
2016-01-13,22.83,23.129998999999998,21.860001,21.98,154100,21.98
2016-01-14,21.950001,22.57,21.559998999999998,22.290001,282200,22.290001
