Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.77,11.16,10.77,11.01,703900,11.01
2015-12-16,11.09,11.1,10.43,10.84,1912500,10.84
2015-12-17,10.97,11.38,10.41,11.1,1269600,11.1
2015-12-18,11.1,11.49,10.94,11.49,4392200,11.49
2015-12-21,11.72,11.87,11.55,11.84,785600,11.84
2015-12-22,11.84,12.24,11.71,12.05,842300,12.05
2015-12-23,12.1,12.39,12.05,12.18,617800,12.18
2015-12-24,12.13,12.32,12.13,12.16,156900,12.16
2015-12-28,12.11,12.15,11.97,12.12,360300,12.12
2015-12-29,12.15,12.31,12.1,12.15,274300,12.15
2015-12-30,12.11,12.2,11.95,12.04,331100,12.04
2015-12-31,12.04,12.14,11.67,11.67,296000,11.67
2016-01-04,11.47,11.56,11.23,11.31,480800,11.31
2016-01-05,11.3,11.55,11.24,11.44,450700,11.44
2016-01-06,11.3,11.36,11.03,11.06,643500,11.06
2016-01-07,10.81,11.17,10.8,11.05,528200,11.05
2016-01-08,11.01,11.12,10.43,10.5,562600,10.5
2016-01-11,10.51,10.69,10.3,10.36,543000,10.36
2016-01-12,10.46,10.51,10.1,10.21,496000,10.21
2016-01-13,10.2,10.48,9.84,9.88,579000,9.88
2016-01-14,9.96,10.19,9.83,10.02,740800,10.02
