Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,1.74,1.82,1.71,1.77,99000,1.77
2015-12-22,1.81,1.87,1.62,1.87,266500,1.87
2015-12-23,1.87,1.9,1.8,1.84,136700,1.84
2015-12-24,1.8,1.82,1.75,1.75,58300,1.75
2015-12-28,1.7,1.83,1.66,1.78,88200,1.78
2015-12-29,1.8,1.82,1.74,1.77,110600,1.77
2015-12-30,1.74,1.75,1.68,1.71,108400,1.71
2015-12-31,1.7,1.7,1.46,1.46,320100,1.46
2016-01-04,1.5,1.62,1.46,1.62,252800,1.62
2016-01-05,1.62,1.65,1.56,1.61,63000,1.61
2016-01-06,1.58,1.65,1.5,1.63,85500,1.63
2016-01-07,1.63,1.63,1.48,1.55,150800,1.55
2016-01-08,1.61,1.61,1.47,1.52,59100,1.52
2016-01-11,1.47,1.54,1.45,1.5,75700,1.5
2016-01-12,1.46,1.49,1.27,1.4,140100,1.4
2016-01-13,1.37,1.39,1.26,1.29,114200,1.29
2016-01-14,1.25,1.35,1.18,1.2,74600,1.2
2016-01-15,1.18,1.2,1.14,1.17,69400,1.17
